wucha_min_ceil,count,mean,std,min,25%,50%,75%,max
4159,2.0,10044764861.5,1769053.1802013472,10043513952.0,10044139406.75,10044764861.5,10045390316.25,10046015771.0
4162,2.0,10043668204.0,218150.92727742414,10043513948.0,10043591076.0,10043668204.0,10043745332.0,10043822460.0
4164,1.0,10046035874.0,,10046035874.0,10046035874.0,10046035874.0,10046035874.0,10046035874.0
4166,3.0,10044462050.0,1377863.3870122973,10043514965.0,10043671704.0,10043828443.0,10044935592.5,10046042742.0
4167,3.0,10044758890.0,1199599.179780063,10043489357.0,10044201583.5,10044913810.0,10045393656.5,10045873503.0
4168,2.0,10046061276.0,11654.533967516676,10046053035.0,10046057155.5,10046061276.0,10046065396.5,10046069517.0
4169,1.0,10045883492.0,,10045883492.0,10045883492.0,10045883492.0,10045883492.0,10045883492.0
4170,1.0,10043513929.0,,10043513929.0,10043513929.0,10043513929.0,10043513929.0,10043513929.0
4171,2.0,10045092984.0,1770980.0461800804,10043840712.0,10044466848.0,10045092984.0,10045719120.0,10046345256.0
4173,1.0,10046072079.0,,10046072079.0,10046072079.0,10046072079.0,10046072079.0,10046072079.0
4174,8.0,10043773341.5,781809.1986598411,10043084987.0,10043086272.75,10043466885.5,10044664984.0,10044665873.0
4175,4.0,10044674478.25,1232098.0519456437,10043088620.0,10044273040.25,10044758802.5,10045160240.5,10046091688.0
4177,2.0,10043091568.5,48.79036790187178,10043091534.0,10043091551.25,10043091568.5,10043091585.75,10043091603.0
4178,1.0,10043513918.0,,10043513918.0,10043513918.0,10043513918.0,10043513918.0,10043513918.0
4179,1.0,10045920941.0,,10045920941.0,10045920941.0,10045920941.0,10045920941.0,10045920941.0
4181,2.0,10046576364.0,80754.42283862847,10046519262.0,10046547813.0,10046576364.0,10046604915.0,10046633466.0
4182,1.0,10046106818.0,,10046106818.0,10046106818.0,10046106818.0,10046106818.0,10046106818.0
4184,1.0,10043860351.0,,10043860351.0,10043860351.0,10043860351.0,10043860351.0,10043860351.0
